SERVER 1

--- | --- | ---
Глава 1. Правила дорожного движения
1.1 | Управление ТС без гос. регистрационного знака (пробег >150 км) | Штраф 5.000 руб.
1.2 | Отсутствие у водителя документов на право вождения | Штраф 10.000 руб.
1.3 | Отказ предоставить сотруднику МВД водительское удостоверение | Штраф 15.000 руб.
2.1 | Превышение скоростного режима | Штраф 15.000 руб.
2.2 | Превышение скорости, приведшее к ДТП | Штраф 20.000 руб., компенсация ущерба, лишение ВУ.
3.1 | Выезд на встречку, пересечение сплошной линии | Штраф 10.000 руб.
3.2 | Движение по встречной полосе | Штраф 15.000 руб., лишение ВУ.
3.3 | Нарушение 3.1 или 3.2, приведшее к ДТП | Штраф 25.000 руб., компенсация ущерба, лишение ВУ.
3.4 | Несоблюдение требований знаков или разметки | Штраф 15.000 руб.
4.1 | Неисправные фары | Штраф 3.000 руб.
4.2 | Неисправный двигатель без аварийки | Штраф 5.500 руб.
4.3 | Неисправные колёса | Штраф 6.000 руб.
4.4 | Несезонные шины | Штраф 5.000 руб.
5.1 | Проезд на красный | Штраф 5.000 руб.
5.2 | Проезд на красный, приведший к ДТП | Штраф 15.000 руб., компенсация ущерба, лишение ВУ.
6.1 | Нарушение правил парковки | Штраф 7.000 руб., эвакуация ТС.
6.2 | Нарушение парковки, создавшее аварийную ситуацию | Штраф 15.000 руб., эвакуация ТС.
7.1 | Движение по тротуарам, газонам | Штраф 7.000 руб.
7.2 | Использование телефона за рулём | Штраф 3.500 руб.
7.3 | Агрессивное вождение, дрифт | Штраф 15.000 руб., лишение ВУ.
7.4 | Отсутствие ремня безопасности | Штраф 1.500 руб.
7.5 | Езда без шлема (мото) | Штраф 3.000 руб.
7.6 | Движение без ближнего света | Штраф 2.500 руб.
7.7 | Создание аварийной ситуации | Штраф 10.000 руб.
7.8 | Тонировка (светопропускание <70%) | Штраф 10.000 руб.
7.9 | Скрытие с места ДТП | Штраф 20.000 руб.
8.1 | Непредоставление преимущества спец. ТС | Штраф 10.000 руб.
8.2 | Невыполнение требования остановки | Штраф 25.000 руб., лишение ВУ.
9.1 | Движение по проезжей части (пешеход) | Штраф 1.000 руб.
9.2 | Переход дороги в неположенном месте | Штраф 500 руб.

Глава 2. Административные правонарушения
10.1 | Оскорбление гражданского лица | Штраф 10.000 руб.
10.2 | Нецензурная лексика в общественных местах | Штраф 5.000 руб.
10.3 | Хулиганство | Штраф 20.000 руб., ст. 10 УК.
10.4 | Отсутствие документов, удостоверяющих личность | Штраф 10.000 руб.
11.1 | Оскорбление сотрудника правоохранительных органов | Штраф 15.000 руб., ст. 21 УК.
11.2 | Ложный вызов государственных структур | Штраф 25.000 руб., ст. 8 УК.
11.3 | Неповиновение сотруднику правоохранительных органов | Штраф 20.000 руб., ст. 23 УК.
